id,timestamp,event_type,values,game_id
17336189,2022-05-23 02:22:19.716+00,glance,"{285,260,10,9}",372831
17336190,2022-05-23 02:22:19.782+00,carryFood,{5},372831
17336191,2022-05-23 02:22:19.834+00,playerKill,"{448,145,1,4,Worker}",372831
17336192,2022-05-23 02:22:20.211+00,useMaiden,"{700,260,maiden_wings,3}",372831
17336194,2022-05-23 02:22:20.478+00,playerKill,"{449,362,1,10,Worker}",372831
17336195,2022-05-23 02:22:20.71+00,useMaiden,"{1220,260,maiden_wings,7}",372831
17336198,2022-05-23 02:22:21.24+00,blessMaiden,"{700,260,Blue}",372831
17336218,2022-05-23 02:22:21.704+00,carryFood,{9},372831
17336220,2022-05-23 02:22:22.169+00,reserveMaiden,"{960,700,6}",372831
17336224,2022-05-23 02:22:22.963+00,glance,"{776,265,8,9}",372831
17336226,2022-05-23 02:22:23.36+00,blessMaiden,"{700,260,Red}",372831
17336228,2022-05-23 02:22:24.071+00,reserveMaiden,"{700,260,5}",372831
17336235,2022-05-23 02:22:25.03+00,getOnSnail,"{960,491,9}",372831
17336237,2022-05-23 02:22:25.229+00,useMaiden,"{960,700,maiden_wings,6}",372831
17336238,2022-05-23 02:22:25.331+00,getOffSnail,"{960,491,"""",9}",372831
17336241,2022-05-23 02:22:25.562+00,carryFood,{4},372831
17336262,2022-05-23 02:22:26.027+00,getOnSnail,"{960,491,9}",372831
17336263,2022-05-23 02:22:26.072+00,carryFood,{10},372831
17336264,2022-05-23 02:22:26.125+00,getOffSnail,"{962,491,"""",9}",372831
17336267,2022-05-23 02:22:26.224+00,reserveMaiden,"{170,740,4}",372831
17336271,2022-05-23 02:22:26.557+00,unreserveMaiden,"{170,740,"""",4}",372831
17336272,2022-05-23 02:22:26.721+00,reserveMaiden,"{1220,260,8}",372831
17336275,2022-05-23 02:22:26.921+00,playerKill,"{983,446,6,9,Worker}",372831
17336277,2022-05-23 02:22:27.021+00,blessMaiden,"{960,700,Red}",372831
17336278,2022-05-23 02:22:27.151+00,useMaiden,"{700,260,maiden_wings,5}",372831
17336279,2022-05-23 02:22:27.285+00,glance,"{139,769,3,4}",372831
17336286,2022-05-23 02:22:28.347+00,playerKill,"{1074,393,1,10,Worker}",372831
17336290,2022-05-23 02:22:29.173+00,blessMaiden,"{1220,260,Red}",372831
17336294,2022-05-23 02:22:29.771+00,useMaiden,"{1220,260,maiden_wings,8}",372831
17336301,2022-05-23 02:22:30.508+00,blessMaiden,"{1750,740,Blue}",372831
17336310,2022-05-23 02:22:31.416+00,playerKill,"{1212,767,6,5,Soldier}",372831
17336312,2022-05-23 02:22:31.717+00,berryDeposit,"{116,91,4}",372831
17336314,2022-05-23 02:22:32.013+00,blessMaiden,"{170,740,Blue}",372831
17336320,2022-05-23 02:22:32.479+00,carryFood,{9},372831
17336323,2022-05-23 02:22:32.877+00,getOnSnail,"{962,491,9}",372831
17336326,2022-05-23 02:22:33.208+00,getOffSnail,"{967,491,"""",9}",372831
17336329,2022-05-23 02:22:33.903+00,getOnSnail,"{967,491,9}",372831
17336342,2022-05-23 02:22:35.062+00,carryFood,{10},372831
17336353,2022-05-23 02:22:36.719+00,carryFood,{5},372831
17336356,2022-05-23 02:22:37.152+00,getOffSnail,"{1031,491,"""",9}",372831
17336358,2022-05-23 02:22:37.315+00,playerKill,"{864,425,2,7,Soldier}",372831
17336361,2022-05-23 02:22:37.879+00,getOnSnail,"{1031,491,9}",372831
17336366,2022-05-23 02:22:38.178+00,getOffSnail,"{1036,491,"""",9}",372831
17336368,2022-05-23 02:22:38.344+00,playerKill,"{1037,553,8,9,Worker}",372831
17336371,2022-05-23 02:22:38.773+00,carryFood,{4},372831
17336372,2022-05-23 02:22:38.828+00,blessMaiden,"{700,260,Blue}",372831
17336379,2022-05-23 02:22:40.826+00,reserveMaiden,"{170,740,4}",372831
17336385,2022-05-23 02:22:41.886+00,getOnSnail,"{1036,491,5}",372831
17336388,2022-05-23 02:22:42.085+00,getOffSnail,"{1036,491,"""",5}",372831
17336391,2022-05-23 02:22:42.515+00,berryDeposit,"{208,81,10}",372831
17336392,2022-05-23 02:22:42.648+00,carryFood,{7},372831
17336402,2022-05-23 02:22:43.907+00,useMaiden,"{170,740,maiden_speed,4}",372831
17336403,2022-05-23 02:22:44.172+00,getOffSnail,"{1047,491,"""",9}",372831
17336410,2022-05-23 02:22:45.3+00,carryFood,{4},372831
17336411,2022-05-23 02:22:45.355+00,blessMaiden,"{960,700,Blue}",372831
17336413,2022-05-23 02:22:45.628+00,glance,"{1007,610,9,8}",372831
17336416,2022-05-23 02:22:45.995+00,blessMaiden,"{700,260,Red}",372831
17336423,2022-05-23 02:22:46.625+00,playerKill,"{391,3,3,10,Worker}",372831
17336426,2022-05-23 02:22:47.088+00,reserveMaiden,"{960,700,4}",372831
17336429,2022-05-23 02:22:47.785+00,getOnSnail,"{1047,491,9}",372831
17336434,2022-05-23 02:22:48.114+00,blessMaiden,"{1220,260,Blue}",372831
17336436,2022-05-23 02:22:48.226+00,getOffSnail,"{1056,491,"""",9}",372831
17336453,2022-05-23 02:22:50.159+00,useMaiden,"{960,700,maiden_wings,4}",372831
17336457,2022-05-23 02:22:50.357+00,playerKill,"{1080,757,2,5,Worker}",372831
17336464,2022-05-23 02:22:50.965+00,blessMaiden,"{170,740,Red}",372831
17336496,2022-05-23 02:22:55.776+00,blessMaiden,"{170,740,Blue}",372831
17336497,2022-05-23 02:22:56.073+00,berryDeposit,"{148,91,10}",372831
17336499,2022-05-23 02:22:57.147+00,blessMaiden,"{1750,740,Blue}",372831
17336501,2022-05-23 02:22:57.315+00,useMaiden,"{170,740,maiden_speed,7}",372831
17336503,2022-05-23 02:22:57.614+00,blessMaiden,"{960,700,Red}",372831
17336508,2022-05-23 02:22:58.707+00,useMaiden,"{1750,740,maiden_speed,5}",372831
